700	2.88	2
400	3.31	3
340	3.15	3
580	3.57	3
380	3.33	4
540	3.94	3
660	3.95	2
740	2.97	2
700	3.56	1
480	3.13	2
400	2.93	3
480	3.45	2
680	3.08	4
420	3.41	4
360	3	3
600	3.22	1
720	3.84	3
620	3.99	3
440	3.45	2
700	3.72	2
800	3.7	1
340	2.92	3
520	3.74	2
480	2.67	2
520	2.85	3
500	2.98	3
720	3.88	3
540	3.38	4
600	3.54	1
740	3.74	4
540	3.19	2
460	3.15	4
620	3.17	2
640	2.79	2
580	3.4	2
500	3.08	3
560	2.95	2
500	3.57	3
560	3.33	4
700	4	3
620	3.4	2
600	3.58	1
640	3.93	2
700	3.52	4
620	3.94	4
580	3.4	3
580	3.4	4
380	3.43	3
480	3.4	2
560	2.71	3
480	2.91	1
740	3.31	1
800	3.74	1
400	3.38	2
640	3.94	2
580	3.46	3
620	3.69	3
580	2.86	4
560	2.52	2
480	3.58	1
660	3.49	2
700	3.82	3
600	3.13	2
640	3.5	2
700	3.56	2
520	2.73	2
580	3.3	2
700	4	1
440	3.24	4
720	3.77	3
500	4	3
600	3.62	3
400	3.51	3
540	2.81	3
680	3.48	3
800	3.43	2
500	3.53	4
620	3.37	2
520	2.62	2
620	3.23	3
620	3.33	3
300	3.01	3
620	3.78	3
500	3.88	4
700	4	2
540	3.84	2
500	2.79	4
800	3.6	2
560	3.61	3
580	2.88	2
560	3.07	2
500	3.35	2
640	2.94	2
800	3.54	3
640	3.76	3
380	3.59	4
600	3.47	2
560	3.59	2
660	3.07	3
400	3.23	4
600	3.63	3
